Characters  Weight
T           0.008007248552199947
H           0.005229000758696352
E           0.006266067715014
            0.14841519794333247
R           0.0032694900359698485
A           0.007756169183828305
G           0.0019049282513413641
D           0.0011789813819190105
Y           0.0007641545993919513
O           0.005098002827372018
F           0.0013263540546588869
M           0.0033459054959090436
L           0.005076169838817962
,           0.017400891877582432
P           0.001582891670169042
I           0.007341342401301246
N           0.004110060095300995
C           0.0018503457799562248
K           0.0009988592263480505
           0.0361063048212697

           0.0361063048212697
S           0.0034605286858178366
.           0.017450016101829058
l           0.02935991135806647
s           0.04334394052693918
i           0.0406093587105437
n           0.0428417817901959
o           0.05700593311463956
r           0.0395941247427801
e           0.07841863663902975
p           0.00931722786544329
a           0.04787428565190575
t           0.05967501596537288
f           0.013492786926406455
m           0.019829811854221134
b           0.008454824817558089
h           0.04202850296655732
c           0.013056127155325338
d           0.026723577990164237
B           0.0014628102331217354
w           0.014158693077305154
W           0.002881954489135359
'           0.0060149883466423595
?           0.002445294718054244
y           0.01672952747954522
u           0.022744515826187577
g           0.011276738588169796
v           0.00647348110627753
!           0.0010916494277027876
k           0.005905823403872081
q           0.0005785741966824774
U           0.0014628102331217354
-           0.0005949489380980192
[           0.000966109743516967
_           0.002095966901189352
x           0.0009497350021014251
]           0.000966109743516967
—           0.000785987587946007
;           0.002112341642604894
Q           0.000611323679513561
j           0.0005567412081284216
:           0.0005185334781588241
z           0.0004093685353885453
J           0.00004912422424662544
V           0.0001855804027094739
Z           0.00026745410978718296
&           0.00003274948283108363
